data;tone
уже в часах и работает;1
отличный  ловит далеко больше 100метров;1
очень маленькая сковорода;2
все хорошо  пришел вовремя ;1
хорошо смазывает;1
вешалка слегка погнута  явно не при транспортировке  скорее всего продавец отправил такую  ;3
все супер  товар полностью соответствует описанию  качество хорошее  рекомендую  ;1
постамат находится рядом с домом  очень удобно  мне понравилось ;1
самая долгая доставка в мире ;2
доставили в срок  хороший товар  ;1
ужасное стекло  как такое можно продавать? это брак  оно даже не липкое  не рекомендую к покупке ;1
удобное получение заказа в постамате   недалеко от дома ;2
край занавеса не подшит  а обработан обметочным швом-это минус ;1
задержали товар  ;2
забрала в ячейке постамат  надёжно упаковано без повреждений ;1
очень замечательная толстовка  ;1
очень вкусно своеобразный вкус;1
3  раз привозят не тот товар  при этом я должна возврат оформлять через почту и еще 2 недели ждать своих денег  которые я трижды  заплатила за не нужный мне товар  т е  оплатить я должна авансом  а возвращать деньги мне будут 2 недели  если решат  что все хорошо  а если нет- то ни денег ни товара я так понимаю я могу не увидеть??                очень сомнительный сервис для покупателя в моей ситуации   будьте осторожны  ;3
упаковка с сывороткой пришла вскрытой (вскрыта пломба);3
хорошо смотрится  мал место занимает  подставка ;2
товар не соответствует описанию  современный ноутбук утопает в нем а сам конверт не помещается в портфель  внешний вид на любителя  ;1
было уведомление о переносе доставки а время ожидания не увеличилось  ;2
сенсорный экран плохо реагирует на нажатия;3
отличный фильтр  подошёл к моему увлажните воздуха electrolux ehu-3315d   ;1
аромат очень приятный  мягкий  пушистый  пудровый  держится часов 5-7 на мне ;1
спасибо  очень удобно  быстро  обязательно  буду пользоваться  ;1
тонель отличного качества  кошки в восторге   я довольна  доставка как всегда быстрая и удобная   спасибо продавцу и   рекомендую к покупке   ;1
круто первый опыт покупки на  е ;1
тяжело закручивается  немного открутил посмотрел  зализывается резьба на самом болте  толь так и должно быть толи нет  но по идее уже точно не открутиться как предыдущий родной болт ;3
great ;1
в  постомате долгое время не могли забрать заказ  почему-то вводились только 5 цифр  а не 6 из присланного кода  с десятого раза всё-таки удалось открыть ячейку ;2
всё работает ;1
отличный кетчуп;1
при получении  обнаружил  что одна из защeлок сломана  ;3
упаковка никакая  просто в пакет запаяли  сама коробка в результате была помята  непонятно новый это товар или нет  так как пломба была не заводская  а просто прозрачная  но в целом все работает  ;2
канистра протекает  ;3
 очень долго доставляют заказ до спб;2
пришёл и взял;1
все отлично??;1
заказывал одно - привезли другое   требую возврата средств  ;3
место популярное  но не очень удобное мало места  нет возможности и времени посмотреть товар ;2
картонная упаковка с зубной нитью была измята и порвана в одном месте;2
как всегда на высоте ( упаковка  товар  доставка) благодарю и рекомендую ;1
товар качественный  проверил  ;1
не подходит по размеру  ;3
чтоб нажать кнопку вкл или громкость надо давить до опупения  штекер наушников сразу  выпрыгивает  очень плохой чехол;3
полностью соответствует описанию;1
очень хорошие перчатки   приятно надеть на руки  качество отличное ;1
отличное качество ;1
доставка идеальная   но товар с браком;1
во первых  очень долго шел товар  во -вторых  качество товара - ужасное   не советую приобретать  ;1
почему то стала очень долгая доставка  это единственный минус ;2
хорошая покупка по выгодной цене;1
не соответствовало время работы  приехал к закрытой двери магазина ;3
было очень обидно получить не тот товар  заказала к 9 мая значки с буквой z  два разных набора  а прислали два одинаковых  настроение было испорчено  в качестве извинений прислан промокод  но к 9 мая уже не успею приобрести другой набор ;3
все пришло вы о вовремя   спасибо ;1
вкусный  быстро растворяется в молоке  получается приятный напиток  ;1
не смогла продлить срок  обращалась в техподдержку и они ничем мне не помогли;1
продовец обманул таких людей  надо;1
срок годности давний  2020  когда заказывали  нигде не указывал я срок выпуска консервов  банки немного помяты  ;1
пришла порванная коробка и внутри была порванная и мятая бумага прошу выдать промокод или вернуть деньги за товар  фотографию прилагаю ;3
заказ пришел вовремя даже за полтора часа;1
спасибо большое  пришло то что нужно  и вовремя  ;1
все прошло хорошо  единственный минус - не сработало открытие постомата через приложение в телефоне  пришлось вводить код в ручную ;1
штаны гавно  все нитки вылезли;1
всё прекрасно  использовать до 2024г;1
к сожалению  отрава немного потекла  поэтому  при открытии упаковки - всё вокруг воняло сильно ещё и шоколадку положили  мило  что это презент  но  продукт питания - к отраве  это странно  ;3
кошка довольна;1
чехол соответствует описанию  все понравилось ;1
пункт выдачи выглядит непрезентабельно( разбитые ступеньки  пивной ларёк… одна радость  что это минута и товар в руках  но ступеньки починить надо  обратите на это внимание  остальное всё хорошо  спасибо  ;1
очень долго  целый месяц ;2
шланг не из силикона  а из пвх  ;3
я уже писал несколько комментариев  меня все очень устраивает  спасибо ;1
звук хороший  bluetooth слабый  заявлено 10 метров  по факту сантиметров 30 от трансмиттера;1
маркёр сухой  доска не держится нормально;1
продавец положил то  что заказано  хорошо упаковал  доставка тоже не подвела  очень довольна  спасибо ;1
уже связался с поддержкой  вопрос решили  вернули деньги  тем не менее товара я так и не получил  и почему я вас терплю?;3
пришёл вовремя  подлинность на сайте подтверждена  начинаю принимать ;1
не так как на фото не понравился;1
хорошая кофемолка  доставка всрок;1
есть небольшой писк от блока питания  ;2
было очень сложно открыть ячейку в постамате  видимо  она была сломана ;3
пришло раньше на три дня  упаковка отличная;1
всe хорошо;1
отличная манжета  брал для and 777  снял со старой неработающей манжеты пластиковый клапан  надел его на новую  так  как поставляется она без клапана на конце резиновой трубки  все подошло  на вид даже лучше чем штатная  доставили быстро  забрал без проблем  ;1
к доставке и получению вопросов нет  есть вопрос к продавцу  упаковка товара была вкрыта и судя по следам на ней давно  наушники пришли полностью разряженными и проверить их работоспособность не было возможности  т к  уезжал срочно в командировку времени предъявить претензтю не было  но такое ощущение  что подсунули б/у  т к  наушники лержат зарядку не более двух часов  причем в основном в режиме ожидания  т к  использую как ганитуру  я разочарован  думаю  у надо усилить контроль ;3
доставка быстро  упаковано хорошо  огорчила цена  сегодня на 200 руб дешевле  про действие и качество пока ничего не могу написать  т  к только получила ;1
2 05 22 в 19 00 в пункт выдачи уже нельзя было попасть закрыто ;2
все подошло   спасибо ;1
дали собаке таблетку 2-го мая  6-го мая у собаки начались судороги  моча стулу оранжевого цвета  собака перестала есть и пить  отвезли в ветеринарку  сказали  что пироплазмоз  укусил клещ  три дня собаке делали по 4-6 уколов  таблетка просто не сработала  ладно хоть мы вовремя обратились к доктору  иначе прошу дать обратную связь ;3
меня всё устраивает  спасибо ;1
хороший поливочный шланг  при температуре +4 на улице не дубеет  при поливе колодезной водой  остается таким же мягким  эластичным  рекомендую;1
"спасибо  пока всё устраивает ;)";1
поставил  все ок;1
ужас ;3
очень классный крем  беру не первый раз;1
заказ задержали на 2 5 часа;2
крючки супер;1
самый лучший ;1
доставка порадовала;1
звук хороший есть бас подсветка отключается есть несколько режимов из минусов только мятая упаковка со всех углов ;1
по качеству ещё не опробовали  но на вид очень даже ничего ;2
"качество изделия неудовлетворительное- пластмасса с заусенцами по бокам; на пластиковом шарнире- быстро сломается";1
задержали доставку на 2 дня;2
счётчик подошёл и намного дешевле чем в магазинах  быстрая и удобная доставка ;1
купил  пытался запустить  вроде подключился к нему а взлетать не взлетает  только камера работает ;1
постамат пытается подключиться по блютуз  у него не получается  он начинает висеть  все очень долго;3
первый раз в постаматах забирала но оказалось ничего сложного все отлично ;1
спасибо  все точно в срок  ;1
доставили быстро  все качественно упакованно в коробку ;1
шампунь и бальзам потрёпаны  поцарапаны  маска сломана  на месте трещины большая дыра и внутреннее содержимое потекло на остальные товары  была задержка с доставкой  ;3
товар пришёл раньше на день;1
не герметично упакован  шампунь протек;3
дорого;2
удобные  мягенькие;1
на краю чехла скол;3
всё пришло всё ок;1
вот здорово?????;1
ужасный держатель который трясётся как дряблый живот при движении автомобиля  крайне не рекомендую данный товар к покупке ;1
открыв ячейку  товара на месте не оказалось - ячейка была пуста  фактически товар мной не получен  прошу разобраться  ;3
3;1
единственный минус  что очень долгая доставка  ;2
всё хорошо  упаковка отличная  доставка быстрая ;1
хорошая сыворотка с приятным запахом  пользуюсь два дня  результат немного есть  убирает отеки и чуть выравнивает цвет кожи  благодаря сиянию делает синяки под глазами менее заметными ;1
не тот цвет;3
товар рекомендую ;1
хорошие ушки  крупной собаке подошло но в одной упаковке было 1 ушко ;1
слишком много полиэтиленовой упаковки;2
насадки подошли  хорошо массируют десна и чистят зубки  упакованы хорошо ;1
спасибо  все пришло быстро  очень хорошо упаковано  ;1
получить товар удалось только  с 3 раза  дважды было закрыто уже с 21 00;2
мало пунктов выдачи;2
одна пачка риса была дырявая((;3
товар пришёл вовремя  запаковано хорошо  ;1
товар какой-то грязный  с отпечатками и потёртостями;3
всё подошло  пока полет нормальный  доставили вовремя  ;1
сам фильтр тряпочка приклеенная и гранулы которые бремчат и вывыливаютя хрень полная;1
зарядка работала всего  минут 15 и всё провод зарядки очень короткий  я не знаю к какому прикуривателю он дотянется ;3
семена уже взошли спасибо за подарок (семена базилика) отдельное спасибо ;1
плохо упаковано  протекло ;3
в цап не было выхода 3 5   как указано в спецификации  ;2
   е молодец ;1
пользуюсь не первый раз для себя и для офиса очень удобно ;1
не связывайтесь с продавцом мастер спорта  прикрываясь тем  что они «единственный поставщик»  видимо начали  помимо оригинального товара доставлять левак  прикрываясь мифическими проблемами на сайте по проверке штрих-кода  на встречу не идут  буду возвращать товар через я ;3
пока нормально;1
экран глючил  гас в процессе набора кода доступа;2
лубрикант просто бомба идет как по маслу нет круче даже  чем по маслу закончится закажу еще ;1
качественная и хорошая краска все как всегда  заказом довольна ;1
отличная печать  рисунок чёткий и сочный  сам чехол приятный  хорошо лежит в руке  не скользит  нет защиты камеры  просто вырез ;1
отличная струбцина  качественная   брал для лампы   ;1
магазину можно смело доверять  спасибо за честность  ;1
все устраивает ;1
доставили 2шт вместо 10;3
быстро  просто  люблю постаматы;1
не соответствует заявленной ширине ;1
заказ пришёл вовремя   упаковка без повреждений  расположение постамата достаточно удобное и рядом с домом ;1
прекрасные часы от прекрасного продавца ;1
больше чем думала  но как раз свободные  не жмут ;2
была надорвана пробка;2
доставлено вовремя  все целое цена около 300;1
все гуд ;1
очень неприятно когда тебя обманывают;3
я забрала свой заказ буквально за 15 секунд  дома все распаковала  куча буклетиков с предложением поучаствовать в акциях kitfort  мне понравилось:) вот только магнитика обещанного не было:( лист с указанием какие они есть (один мне даже приглянулся)  но ни один не попался  сам ирригатор очень классный  очень маленький  что плюс  его реально можно носить на работу  цвет ожидала голубой  а пришёл бирюзовый  но так даже лучше  с мужем долго думали розовый брать или голубой  а пришёл компромисс:)) надеюсь мои зубки будут здоровее благодаря данному устройству ;1
здравствуйте  упаковка была целой а после распаковки оказалось что банка была помята как будто на неё наступили ;3
свою функцию выполняет  всё гуд;1
сложно было найти постамат;2
очень  очень красиво и мощно  вещь  сделано на века;3
товар привезли не тот  который заказывала  пульт совершенно другой  хочу вернуть  ;3
все отл  все работает  батареи в комплекте  ;1
лейка супер;1
цвет колонки был принципиально важен  упаковали другого цвета  ниже стоимости  мошенничество ;3
заказ был доставлен с опозданием(;2
пришла 1 тарелка вместо 6 шт  и цвет вместо зелёного пришел черный ;3
привезли не тот товар  оформил возврат - трек номер возврата 80080672106572   на почте заплатил за упаковку 90 ?     почему я должен платить за ваши ошибки? прошу их вернуть  (90 ?);3
"коробку ""впихивали"" в ячейку из-за чего она была деформирована и пачки были сильно помяты ";3
всё отлично  только нет мусорной корзины  пришлось везти коробку домой ;1
помята упакока  как будто ее придавили тяжелым и  как следствие  треснута крышка пенала с бурами  не смертельно  но неприятно  учитывая  что сервисом пользуемся с сыном давно и первый раз такая пакость  осадочек  как говорится  остался;2
на картинке не та помада корпус другой и цвет соответственно тоже не тот что предполагался  пришла в другой корпусе номер тот но цвет абсолютно нет ;3
все норм;1
заказ на     сделала первый раз   очень  довольна   спасибо ;1
организация доставки - класс  сама посылка шла долговато  недели 2 или 1 5;2
пункт выдачи очень сложно найти  нет ни каких вывесок и указателей  ;2
нет вывески  очень трудно найти  никто не знает где он ;2
товар привезли с задержкой на сутки  прошу начислить балы за задержку доставки ;3
пункт выдачи на свердлова  90  переехал на второй этаж  за эскалатором;2
все соответствует описанию  упакован отлично  рисунок яркий  подклад отличный  лейкий  для меня это был самый первый вопрос и основной  карман сбоку на молнии для ключей очень важен  чтобы перед дверью не снимать рюкзак  а удобно достать ключи  ;1
самое сложное было найти место выдачи  нет никаких указателей  в остальном всё отлично  то  что нужно  вовремя  ;2
клёвый ;1
отвратительно  отменять заказ без предупреждения;3
пост  трудно найти  он находится на 3-м этаже торгового комплекса где-то в переходе ( нужно указывать при отправки где конкретно а не только адрес но и этаж );2
сама лазерная указка отличная  4 звёзды за то  что зарядка не лезет ни в какую розетку;1
забрал быстро так как не в первой  а в первый раз или кто в первые туда пойдёт не найдут ;1
лейка пришла не та  цвет золотой  без фильтра  без регулировки напора  кнопка stop не держит воду  есть мелкие дефекты ;3
шампунь вытек в коробку  вся коробка мокрая  как вообще не положили в ящик выдач? ;2
невозможно у терминала открыть и проверить заказ;3
долго шла посылка  либо поздно была отправлена  судя по отметкам заказ был отправлен лишь 5 мая  я пришёл в постамат 11 мая  хотя заказывал вообще за месяц до того ;2
отличный манометр;1
пользовалась этим сервисом первый раз - всё оказалось очень легко и удобно - с смской пришли чёткие инструкции );1
ждал неделю  долго ;2
привезли в постамат как договаривались в срок  это мой первый заказ в    е  считаю все прошло хорошо  советую ;1
есть проблема с тем  что постамат заставлен тележками магазина  приходится разгребать их чтобы открыть ячейку и забрать заказ  ;2
классная расческа) ;1
не действует даже в более высокой концентрации  чем указано в инструкции  листья  на которые попала эта жидкость через сутки немного желтеют  а через неделю снова зеленеют  растение в целом вообще не страдает ;2
я заказала бабушке на день рождения и уехала за границу  5ого мая ей стукнуло 70 лет  моя мама забрала заказ и подарила его  сейчас когда дошли руки до открытия подарков оказалось что массажёр не работает а я не могу его никак вернуть потому что не в россии  написали нужно сфотографировать штрих коды  а на товаре их нет  что мне делать? что это за поддержка такая где не могут обменять товар на такой же но рабочий  я же не деньги вернуть прошу ;3
очень хороший набор  пользуюсь с удовольствием  спасибо????  ;1
хороший крем но на лице блеск есть так он жирный ;1
хорошая поло  на рост 190см и вес 80 кг размер 52 в обтяжку  можно было заказать 54  было бы посвободнее  хотя может со временем растянется ;1
запах очень сильный;1
упаковка нарушена ;3
пришлось ждать больше недели;2
не тот товар  ;1
когда пришло сообщение о поступлении товара пункт выдачи не работал  на сайте этой сообщения не было  трудно к пункту подъехать   сотрудники магазина где расположен пункт выдачи хамло ;3
добрый день  мои долгожданные сковородки пришли хорошо упакованные  всё в целости и сохранности) я довольна ;1
заказ пришёл во время  посылка отслеживалась постомат возле дома очень удобно);2
пункт выдачи не очень легко найти  лучше сделать пару наклеек: одну на входной двери в здание  одну недалеко от лестницы и указать  что на втором этаже;2
все ясно и четко забирать заказ из почтомата удобно и код есть нет нужды куда то звонить и узнавать код как в случае с dpd=очень неудобно но если заболеешь и не заберёшь заказ то что с ним будет? а вот на почте месяц хранится заказ вобщем я доволен;1
хорошо  спасибо;1
вы котики :3;1
фильтр пришёл с трещиной  отправил фото в поддержку - через 2 минуты извинились и прислали промокод на сумму фильтра  ;3
все отлично   спасибо ;1
неудобно найти пункт выдачи;2
пункт выдачи полон алкашей невозможно дышать  и трудно добраться до автомата ;2
все хорошо  но лекарство не идет)) ;2
вкусная черника;1
нормальная тушь  ресницы удлиняются эффект красивый  отличная дешёвая цена  но есть минус к вечеру осыпается своих денег стоит  пользовалась дорогими тушами эффект был разный но к вечеру осыпаются все  ;1
сел идеально);1
спасибо  отлично;1
товар получил  всё замечательно  но в описании не было сказано  что устройство для работы вверх  предназначено для других моделей  ;1
хорошая термокружка  сразу под крышкой сито клапанов никаких нет;1
производитель батареи не соответствует заявленному  хорошо хоть с моделью самого телефона не перепутали  обычная китайская подделка  продавца не советую  ;1
принципе прикольные колонки  если срочно нужны хоть какие-то  можно эти смело брать;2
очень вкусный  для салатов в самый раз  запах просто космосOO;1
хотелось бы  что б сама электроплитка внутри картонной коробки была упакована в пузырчатку или что-то подобное для надёжности  электроплитка была целой  но всё-таки  ;2
заканчивается срок годности;1
доставили даже чуть раньше  коробка инструкция упаковка все в порядке  даже есть фирменный пакет  нож хороший всё соответствует описанию  имеется инструкция на русском языке  написано что изготовлен в швейцарии  вообщем хороший функциональный швейцарский нож  компактные размеры но это ожидаемо это не нож рембо  покупкой доволен вполне ;1
на вид все аккуратно  бреет хорошо;1
хороший наполнитель  быстрая доставка;1
все пришло  хорошо упаковано  доставка быстрая  товар как на фото и в описании совпадает  рекомендую  принимаю уже неделю  болели колени после тренировок  сейчас боль ушла ;1
очень плохо нажимаются кнопки на постамате  а так все отлично ;2
очень долго ждала эту вещь  а привезли другую модель и другого цвета ;3
тяжело найти пункт выдачи - нужно добавить детали в описании адреса;2
товар был упакован в пакет  под пакетом пупырчатый пакет   в одном месте упаковки была дыра  в результате чего нижняя часть пирамидки была немного повреждена   то есть два слоя упаковки были повреждены дыра похожа на след от сигареты  ;2
отличный кабель  по цене минимум в 2 раза дешевле  чем тех же днс и ситилинке) так же дали промокод на  еду  за что отдельное спасибо) всем мир);1
давно беру это кофе  не кислит  ароматный  крепкий ;1
насадки подошли для детской электрической зубной щетки орал би  по качеству не хуже оригинальных;3
товар не соответствует заявленному  было заявлено и согласовано 12 в 2а  а пришёл 6в 2а  т е  совсем не подходит;1
установил  работает ;1
сломался на второй день работы;3
все соответствует заявленному штрих-код даже проверила на сайте не подделка сразу выдаёт сертификат и место производство сша;3
машинку эту я знаю поэтому и купила  продавец молодец всё как заявлено триммер отличный   а от шейвера я просто в восторге   думала он по размеру чуть меньше ладони  а оказался совсем мини шейвером с ладожку  но работает как маленький звереныш  можно дарить как подарок  отличная вещь   мне очень понравился ;1
хороший товар  качественный ;1
хорошая мышь за свои деньги ;1
постамат в магазине куриная ферма находится  а владелец этого магазина постоянно то выходные устраивает  то закрывается раньше  он себе конечно вешает на дверь расписание  но заранее то не знаю  вчера я пришла он закрыт  а сегодня до 17 например работает  и до этого уже так было  а в приложении всегда написано что он до 20 00 ;3
очень плохо нажимается клавиатура для получения заказа ;3
на заявленном фото совсем другой товар  массажные точки другие  вставки силиконовой нет  обман  ;3
потихоньку перевожу кота на новый корм  пока все хорошо  закажу пачку побольше ;3
упакован очень надёжно  ничего неповреждено  доставили вовремя  даже на пару часов раньше  молодцы  очень понравилось ;1
хорошо упакован  книга пришла очень быстро  очень хорошее качество  плотная бумага  ;1
нет гарант  таллона;2
пришел вовремя  работает хорошо ;1
хорошие очки;1
спасибо большое всё получил огромное спасибо очень приятно с вами работать  ;1
упаковано надежно  ну а кошке вкус нравится);1
отличные наушники  особенно порадовал звук и удобство  долго живут   ;2
добрый вечер  сегодня получила заказ  положили не то  что я заказала  и товар какой то странный  как будто его уже возвращал кто то  ;1
в место чёрной привезли серую(;3
все нормально??;1
вполне нормальные прокладки;1
пришла посылка вовремя  упаковано все аккуратно  дешевле  чем на азоне;1
толстая керамика ;1
спасибо  буду заказывать еще в подарок близким ;1
брак  целый день ездил  так и не связался со спутником ;3
всё классно)));1
спасибо  очень хороший сервис  пункт выдачи рядом      все понравилось ;1
товар соответствует описанию  ;1
очень довольны работой  ;3
отличный манометр ;1
грубый ответ поддержки ;3
сенсорный экран на пункте выдачи очень плохо работал  код удалось набрать с трудом  раньше таких проблем не было ;3
очень понравилась щетка  качество и размер??????спасибо;1
дошло быстро  качество хорошее;1
отличная сковорода  за мене чем 200 рублей;1
спасибо за надёжную упаковку и быструю доставку в пункт выдачи;1
ребята  15 дней от даты оплаты-это не норма  ;2
в комплекте батарейка   светит фонарь отменно  два режима ;1
доставка и товар  все хорошо я довольна ;1
вообще не то что заказывал ;3
нормально подошло к часам;1
качественно  не хватает молнии на нагрудных карманах  липучки не держат  ;1
не видно как открывается ячейка;3
дпд попросили изменить на пункт выдачи  и вынужден выбрать на не подходящую ;2
товар качественно сделан полностью отрабатывает стоимость  ;1
постамат самостоятельно найти не просто трудно  а невозможно  ;2
очень хорошо упаковоан  доставили раньше срока ;1
заказывала другой крем этот мне не нужен как вернуть;3
хороший крем;1
очень все понравилось   доставка быстрая  товар качественный;1
доставили без проблем в оговоренный срок ;1
суперрррр    супер кофе  это самый вкусный  кофе   который я когда либо пробовала    идеальный    вкуснятина    ???????????;1
вроде и упаковка нормальная  и надписи все от самсунг  но зарядка не заряжает  несколько секунд сообщает о быстром зарядки  потом меняет сообщение на зарядку по кабелю за 7 часов  отвратительный товар ;3
получил уже попробовал вкусный кофе заказал ещё ;1
доставка отличная  упаковка тоже  самим регистратором не пользовался  ничего сказать пока не могу на внешний вид и комплект все замечательно  ;1
достаточно тяжело ввести код на экране постомама  чтобы ввод сработал приходилось прям с большим усилием нажимать на экран;3
всё понравилось  товар и оперативность его доставки ;1
установил в свой старый макбук про13   12-го года   всё работает отлично ?? ;1
одна из пачек средств для мытья была повреждена и полностью вытекла  тем самым размочила картонную упаковку;3
zer gut;1
товар к покупке рекомендую  качественный пластик  легко собирается  легко разбирается  рисунок глубокий  четкий  ровный ;1
пункт выдачи работает с 11 00;2
все как описано мне понравилось;1
заказ пришёл вовремя  все хорошо упаковано не испорчено  ;1
срок доставки переносили ;1
очень удобно  спасибо;1
всё понравилось  спасибо;1
качественная прыгалка-скакалка  из прочной резины по выгодной цене ;1
не оказалось в комплекте фиксирующей гайки  ;3
всё замечательно ;1
чехол слегка поцарапан  заводской брак ;3
я позвонила 5 разным консультантам из поддержки но никто не сказал что пункт выдачи с надписью халва  все они говорили что это не тот  только спустя 1 5 часа мне прислали код  котов  я смогла открыть постамат  так же в описании указано все не верно  отвратительно что никто не в курсе и я потеряла столько времени  ;3
есть сомнения в подлинности товара ;2
ну очень вкусно   взяла уже не в первый раз и очень очень довольна   ;1
бустер и качественно  был доставлен ранее заявленного времени   ;1
все прекрасно  забрала на след день без проблем ;1
быстро  просто  в срок ;1
