data;problem
при выборе товара была указана доставка в течение 2 дней  по факту товар доставили в постомат через 7 дней ;Доставка
подделка;Товар
больше вопрос к отправителю  а не к самой доставке  почему указано 50шт  а привезти 20шт? ;Товар
неверно указано название торгового центра и время работы  ;Городская среда
неоднократный перенос ;Доставка
подделка ;Товар
электроды подделка ;Товар
подделка скажу друзьям чтобы не покупали ;Товар
неудобное время работы пункта выдачи - по будням с 10 до 19;Городская среда
китайская подделка - никакими 256гб там и не пахнет  реальный объем флешки 3 7гб ;Товар
товар пришел не в то время которое было указано  ;Доставка
постмат неплохо так спрятан ;Городская среда
был перенос сроков доставки ;Доставка
отвратительно и служба поддержки никак не решила ситуацию  отвратительно   ;Другое
ставлю оценку 2 было согнуть иголки не возможно пользоваться я огарчен ;Товар
китайская подделка  сразу же лопнула 6 струна в стац  состоянии  ;Товар
ужасная работа службы доставки   ;Доставка
самовывоз  одинаковые постаматы  но в разных частях города  и странно  что от этого зависит цена доставки  в некоторых постаматах бесплатно  в других платно ;Доставка
каждая позиция облагается доставкой в 149 ? -это провал;Доставка
заедал постмат;Постамат
постамат находится в магазине дисмакс  при оформлении заказа была информация о возможности примерки  но  получив заказ  спросила  можно ли здесь воспользоваться примерочными  на что мне ответили  что примерочные относятся к магазину дисмакс  а не   на последующую просьбу всё же примерить товар  разрешили воспользоваться  доставку одежды на  е оформляла впервые  впечатление двоякое  ;Доставка
чехол не фирменный samsung  подделка ;Товар
подделка;Товар
несвоевременная доставка товара  не оповестили о переносе доставки  потерял время на прлучение;Доставка
отвратительно ;Другое
в описании товара было указано сплитом 4*88 цена 350р  по;Товар
все как указано  кулер не шумный  ;Товар
отвратительно;Другое
впечатление плохое указано что будет в пастомате а он не работал;Постамат
отвратительный сервис  ждать доставку 6 дней и в итоге получить не свой заказ  мошенничество ;Доставка
срок годности одного товара закончился 19 08 2022  а у второго заканчивается на следующий день после получения - 16 10 2022  отвратительный магазин  рассылает просрочку;Товар
ящик был пустой  ждем решения данного вопроса ;Постамат
расстроилась только вначале с курьерской не доставкой   хорошо   что можно было поменять доставку   ;Доставка
нет колесика в которое упирается лезвие;Товар
подделка;Товар
это вода - галимая подделка  не берите ее ;Товар
обманули на 10 дней ;Доставка
банка подделка я в бешенстве;Товар
озвученное время доставки было не выдержано ;Доставка
подделка;Товар
постмат;Другое
некорректно указано время работы  в 19:45 уже был закрыт этаж;Городская среда
отвратительно;Другое
а где же обещанные 500 рублей скидка на первый заказ ?;Другое
через 3 недели перестал работать цветной картридж ;Товар
подделка;Товар
явная подделка  весь пузырёк снаружи залит и залапан;Товар
как будто подделка  кнопка кривая  надеюсь на работу не повлияет  а так обидно  ??;Товар
время доставки не соблюдено ;Доставка
небольшое опоздание в доставке товара ;Доставка
корм пахнет отвратительно ;Товар
это явно был посл заказ на вашем  плейсте;Другое
не сработал постмат ;Постамат
в описании товара указано  что продается 55 шт корзинок  по факту - это одна корзинка за 305 руб  но точно эти же корзинки я  покупала на  е перу недель назад по 68 руб/шт  глупо так обманывать покупателя и продавать  шт за 305 рублей  указывая  в описании товара  что их 55 шт ;Товар
проблема с качеством товара  нанесённой области носа покраснела  и не уходила несколько дней  начало отходить кожа  это после первого дня пользования  другой звёздочкой с аптеки  таких проблем не было  думаю товар подделка ;Товар
не было галаграммы на крышке  что вводит под сомнения в оригинальности данного масла ;Товар
отвратительно  приличных слов нет ;Другое
отвратительно ;Другое
заявлен как макита  а на самом деле дешевая подделка  сопроводительной документации нет;Товар
это подделка ??????;Товар
постмат завис  поддержка некомпетентная  ;Постамат
просто было указано провод с быстрой зарядкой он не поддерживает подделка;Товар
постмат не открыся по команде ;Постамат
в рекламе указано что трос с крюком и с шаклов (скоб)  но пришол без крюка и шакла ;Товар
указано что розетки со шторками но приехали без шторок ;Товар
время работы пункта указано не корректно ;Городская среда
этикетка отклеивается  возможно  подделка;Товар
дешевая подделка не соответсвует оригиналу;Товар
подделка;Товар
самый ужасный сервис  который не может решить проблему ;Поддержка
подложили кошачий наполнитель  просьба разобраться  ;Товар
менажница подделка  блюдце для кошки??;Товар
подделка галимая ;Товар
неверно указано время работы пункта;Городская среда
отвратительно  товар подделка  как вернуть обратно? ;Товар
заказал 2 товара шафран  одна бутылка верно  другая нет  это garam masala spices  внешне очень похоже  но совсем не то и цена почти в 3 раза ниже  надо решить проблему  ;Товар
дисплей пункта работает отвратительно  доставка половина товара ;Постамат
просто отвратительно   кувшин разбит на осколки  деньги не вернули  кувшина нет;Товар
перенос доставки 3 раза  ;Доставка
подделка;Товар
ведро с битумной мастикой к камере доставки лежало на боку  краска залила крышку  что создало проблему при вскытии и дальней шем использовании  ;Товар
провод перестал заряжать через 3 недели ;Товар
обман сплошной больше не закажу ничего отвратительно;Другое
товар не был упакован вообще никак  ни пакета  ни пленки  хотя обычно привозят в коробках  благо корм не пострадал и герметичность не нарушена ;Упаковка
он не подходит как указано в описании товара подделка ;Товар
добрый день  со стороны  а  конечно  логично делать доставку до квартиры бесплатно с определенной суммы  но  возможно  ещё логичнее делать её бесплатной с определенного веса заказа?) и немного вылилось средство  но грустнее  конечно  больная рука пока это все донесёшь до дома ;Доставка
время работы постамата указано неверно;Городская среда
всё хорошо  только хотелось бы сократить время доставки  до 2 х дней ;Доставка
постмат не на видном месте  ;Городская среда
галимая подделка;Товар
подделка?? не настоящий lavazza;Товар
не было сообщения о доставке товара ;Доставка
кокосовое молоко перемороженное  доставка переносилась несколько дней  первоначальная дата доставки товара 4 12 по факту получила 06 12  ;Товар
был перенос ;Доставка
очень  очень маленькие   скорее всего подделка ;Товар
заказ упакован отвратительно  довольно дорогая  технически сложная  электронная вещь упакована просто в пленку  без картона  без мягких пупырок  без паралона или пенопласта  просто два раза обернули в пленку и все  вероятность повреждения во время транспортировки очень высокая ;Упаковка
течет со всех соединений  китайская подделка;Товар
с доставкой всё хорошо  но рассчитывали  что ручка в комплекте: на картинке в описании товара есть  не мы первые так думали   инговый хитрый ход и неприятный осадочек ;Товар
отвратительно 7 дней не отдают оплаченный 100 на 100  товпр  никакой конкретики  только отписки  мошенники  никогда и никому не порекомендую связываться  более того приложу все усилия для публичной огласки  ;Доставка
это подделка   лосьон должен быть голубого цвета  а не прозрачного  на оригинальных флаконах  надписи нарисованы  а не наклеены  извините друзья  но это даже не китай ;Товар
надо только подойтик окну  чтобы в помещении  где постмат  поймать сеть мтс  ;Городская среда
отвратительно  время доставки не соблюдается ;Доставка
огромнейшая просьба решить проблему до завтра - 24 02 22;Другое
подделка ;Товар
отвратительно;Другое
постоянно перенос доставки;Доставка
ждала доставку своего заказа с момента оформления без 3 х дней месяц   ;Доставка
три раза ходить  за посылкой  просил написать когда постмат начнёт работать  ;Городская среда
не правильно указано время работы торговой площадки где размещён постомат  время доставки не к 12:00;Городская среда
перенос срока доставки;Доставка
было небольшое опоздание на 50 минут по доставке  но в целом остальным доволен);Доставка
товара в ячейке  не оказалось  открыла по коду в смс  в ячейке пусто  написала в чат  ответили в течении 2 мин  обещали помочь в течении 1-3 дней  радует  что на постомате камера  думаю это поможет разобраться быстрее с заказом  но потраченно  время  нервы и силы  первый раз такое разочарование по доставке  ;Постамат
товары не привозят  а если привозят  то не то  приложение тупит  желания покупать у вас пропало;Товар
приполучении товара через постамат  открыв его я не обнаружила свой заказ  сразу же на месте позвонила в службу поддежки и сообщила о проблеме  сказали что проблему решим и найдем посылку  неоднократно обращались в поддержку и до сих пор проблема не решена  ни товара ни денег  требую решить проблему в ближайщее время или будет направлена жалоба в роспотребнадзор ;Товар
отвратительно;Другое
нет минифигурки указанной на картинке прошу решить проблему;Товар
в акции указано 3=2 взяла 2   где 3- тий? ;Товар
отвратительно;Другое
коробка деформирована  заказывал на подарок  впечатление испорчено  хочу дополнительные баллы сверх заказа  так как специально выбрал доставку в постамат  чтобы не загружать курьеров ;Упаковка
подделка;Товар
подделка;Товар
отвратительно ;Другое
в описании указано  что bosch  на самом деле подделка  конечно  причём за немалые деньги  не рекомендую ;Товар
"из-за того что болел заказал в пункт напротив дома  в итоге не предупредив просто поставили в известность что заказ на другом конце района  потратил 50 рублей за доставку и ещё 400 рублей что-бы забрать заказ который заказывал на 30 метров от дома  в поддержке игнорируют и на все мои мои вопросы отвечают "" нам жаль что так вышло  вы заказ получили""  отвратительная доставка  отвратительная поддержка  хоть бы такси от своего же сервиса компенсировали ";Доставка
как найти постмат- вот это квест  может я и не увидел  где он;Городская среда
не начислены баллы за оплату товара картой mastercard ;Другое
отвратительно ;Другое
решила воспользоваться постоматом  а… заказала бутылку масла 5 литров  до постомата со склада эту несчастную бутылку видимо пинали  она вся никакая  как так можно? вы что свиньям доставляете???   - вы просто пробили дно по доставке  больше в жизни у вас не закажу самовывоз  фу  жаль фото нельзя приложить  просто отвратительно ;Товар
уже примерно 8 дней     пытается решить проблему того  что ячейка не до конца открылась и свой заказ я так и не забрала  впервые в жизни сталкиваюсь с такой ситуацией и в следующий раз задумаюсь  стоит ли делать заказ через     ;Поддержка
подделка ;Товар
подделка галимая ;Товар
упаковка товара надорвана  в пудре есть скол по центру  подозреваю  что это просто брак  так как крошки в упаковке не было   честно говоря  просто лень морочиться с пересылкой и возвратом  плюс сомневаюсь  что мне вернут потраченные баллы   также не были начислены баллы за самовывоз   жаль  что опыт с доставкой из другого города получился настолько негативным  ;Упаковка
ячейка была пустая  мне пообещали в течение 3 дней найти заказ  прошло 6 дней  ни ланч-бокса  ни возврата денег;Постамат
 считаю покупку удачной  дешевле не нашёл  доставка за три дня (обещали 6 дней)    из-за отсутствия спецификации нет возможности убедится в  комплектации фрезера  отсутствуют: 2 направляющих стержня (длинных) и прямая направляющая  непонятно должны- ли они быть в этом наборе?;Доставка
отвратительно;Другое
подделка ;Товар
заказ был оформлен 04 01  дата доставки 06 01  но доставили 19 01;Доставка
ужасная доставка  служба поддержки плохо работает  совсем не помогали решить проблему  только завтраками кормили  я разочарована  ;Поддержка
подделка ;Товар
никогда не привозят в обещанное время;Доставка
впечатление от работы  а плохое  цены за доставку (с чего вдруг когда у конкурентов этого нет?) вне зависимости от общей суммы заказа  долгая доставка  постамат сложно найти доставили не весь заказ  совершенно кривая история с доставкой от партнёров или  а  в целом опыт не понравился покупать далее не планирую благо пользуюсь другими сервисами;Доставка
перенос доставки 2 раза  суммарное время доставки 2 недели;Доставка
подделка ;Товар
дверца постамата не открылась  заказ не получен  прошу решить проблему  постамат 217;Постамат
криво и неудобно  бессмысленный сервис на фоне своих конкурентов  во всем -в организации в сроках  в доставке в цене;Доставка
заявленные характеристики данного шланга сильно преувеличены  из 5 м шланга получилось 10 12 м  к    у претензий нет  производитель даёт не правдивые характеристики ;Товар
написано самовывоз бесплатно  а при оформлении служили 149 рублей за доставку то постомата ;Доставка
поставила наушники на зарядку индикатор не светится как указано в инструкции ;Товар
товара не было в ячейки  деньги не вернули до сих пор  странная доставка и отношение к своим клиентам;Постамат
отвратительная работа постамата как и службы поддержки  ;Поддержка
отвратительная работа поддержки;Поддержка
отвратительная работа поддержки;Поддержка
отвратительная работа постамата как и службы поддержки  ;Поддержка
отвратительная работа поддержки;Поддержка
отвратительная работа поддержки;Поддержка
отвратительная работа поддержки;Поддержка
отвратительная работа поддержки;Поддержка
некомпетентные сотрудники службы поддержки   узнавать график работы тц где стоит постамат пришлось самой   ибо ваши сотрудники отвечают по скрипту как боты   3 дня не могли узнать график работы тц  позорище   смените график работы указанный в приложении   он не соответствует действительности  сотрудникам лень было позвонить и узнать время работы  вы подвели меня как клиента и ввели в заблуждение   буду обращаться в роспотребнадзор  если бы постамат находился в черте города  а не в промзоне  было бы проще забирать заказы   работа с клиентами минус миллион ;Поддержка
пришел ключ который стоит в три раза дешевле и совсем мне не нужен  обман ;Товар
согласно данным постамата  товара в ячейке не было в нужный день даже вечером  при вводе кода выдавался ответ  что данного заказа не существует  связано ли это было с тем  что заказ не был изначально привязан к эккаунту  а просто наспех оформлен на старый телефон  или же это результат того  что его не довезли  но скрыли  или просто что-то перепутали при доставке  или же были какие-то махинации с заказом прямо в базе  но чтобы оправдаться мне ничего лучше не придумали чем написать через поддержку  что якобы это я сам плохо неправильно набираю код получения  тем временем ошибку по-тихому исправляют (довозят товар или заносят снова в базу с тем же кодом и продляют срок хранения) и заказ оказывается уже как будто бы доступен  то есть клиенту ничего не остается кроме как действительно будет думать  что он сам ошибся  это возмутительная дискредитация действий пользователей сервиса теми  кто в нем работает с использованием своего преимущества при обработке данных заказа  сегодня эти люди с привелегированными правами вас дурачат по мелочам  а завтра что? кто зазевается или не поймет  что их держат за простачков - у того они будут похищать всё  что плохо лежит  такие заявления от техподдержки  что вы сами неправильно вводите  когда можно было просто выяснить  какая случилась накладка  сказать как есть  просто извиниться и получить 4 звезды вместо дурного отзыва - это уже тревожный звоночек ;Постамат
все хорошо  в день доставки не смогли привезти  прислали смс с информацией  привезли  на следующий день ;Доставка
в момент получения был введён код  ящик не открылся по техническим причинам  товар не получен  прошу незамедлительно решить мою проблему  ;Постамат
не получил заказ постомат сломан;Постамат
один заказ не прислали код;Постамат
по факту дно 28 5 а не 15 5  ввели меня в заблуждение ;Доставка
экран для ввода номера заказа плохо реагирует на прикосновение - приходится несколько раз нажимать цифры чтобы они отобрались на экране;Постамат
постамат без приложения не открывается  вообще  с приложением через  раз  исправьте постамат ;Постамат
постамат плохо  работал  не вводился код для получения товара  нет вывески   трудно найти ;Постамат
не работал сенсорный экран для получения заказа  воспользовалась приложением;Постамат
постамат открылся после второй попытки  остальное в норме;Постамат
плохо работал автомат выдачи;Постамат
не сразу нашёл постараться в торговом центре нет указателей ;Городская среда
постамат был сломан два дня  из-за этого я не мог забрать свой заказ  в качестве компенсации предоставьте мне промокод на бонусы ;Постамат
постамат не работал - ячейка не открылась  при этом статус якобы товар получен  запросил возврат  кормят завтраками  так и не вернули деньги  статус тоже не изменился;Постамат
у постамата плохо работает дисплей  кнопки не нажимаются ;Постамат
постомат не работал  дозвониться в службу поддержки невозможно (не берут телефон)  письма в тех под  обрабатываются чрезмерно долго что не позволяет оперативно решить проблему неработающего постомата    открыть постомат через blue tooth так же не возможно  так как не приходит смс с кодом подтверждения   упаковка товара была помята ;Постамат
пастомат не работал  пришлось приезжать за заказом второй раз  ;Постамат
постамат не работал и не было никакого объявления на постамате куда обращаться за получением ;Постамат
устройство покупалось на день рождения  учитывая что он на следующий день   вернуть товар уже невозможно ;Товар
при первой попатке получения заказа постамат оказался не исправен  пришлось связаться со службой поддержки  оставить запрос на ремонт постамата и прийти в другой день  ;Постамат
товар не получен  постамат не работал  у поддержки есть запись моих  неоднократных обращений об этом  по телефону от постамата и в чате поддержки  прошу разобраться с этой ситуацией как можно быстрее  ;Постамат
заказ невозможно было взять из ячейки  не работали кнопки;Постамат
поставит на улице верная 131/28 регулярно не работает;Постамат
не работал постамат  по телефону ничего не решили  в результате когда уже ушли от туда  прислали  что можно было получить по блютузу  пришлось опять идти  почему операторы на телефоне этого не знают? ;Постамат
сломался через день  откололся замочек;Товар
экран в строеном в ящик посылок плохо реагирует на касания пальцами;Постамат
наушники неплохие  работают хорошо  плохо что инструкции нет на русском  приходится разбираться методом тыка  ;Товар
не первый раз получаю на этот пункте  частенько планшет тормозит  нажимаешь одну цифру  набирается другая  стереть одну цифру иногда нельзя  кнопка не реагирует  забрать покупку порой целая пытка;Постамат
прибор не работает  не включается  ;Товар
насос подошел к стиральной машине zanussi t1033v две недели работает хорошо  не течет  все нормально ;Товар
работает  цезий в датчике дыма показал радиацию;Товар
единственное вчера не работал экран постома и по блютузу тож не работал;Постамат
очень плохо работает тачпад в постамате  цифры нажимаются с очень большим усилием и не с первого раза ;Постамат
плохо работает планшет для ввода номера заказа;Постамат
не работает тач скрин терминала;Постамат
не открывался по коду  при обновлении кода надпись - товар получен  ;Постамат
хрен найдешь ваш пункт выдачи  нет упоминаний в приложении с какой стороны дома зайти  на дверях бы хоть наклейку наклеили  ;Городская среда
купюроприемник не работал;Постамат
панель на постомате плохо работает  некоторые цыфры не нажимаются  сенсор очень плохо работает  еле ввел код ;Постамат
чехол повреждён снизу  скол на задней крышке виден невооружённым глазом  имеются фото сразу после открытия постамата;Товар
тупые  плохо режут;Товар
экран не откалиброван  в результате ввод номера заказа затруднён;Постамат
не работает сенсорный ввод у постамата  то есть работает  но половинчато  курсор перемещается  кнопки не жмутся  благо  приложение с собой ;Постамат
привезли только со второго раза;Доставка
постомат не вызывает доверия  при подходе к нему были какие-то командные строки  код непонятный  пришлось потратить некоторое время чтобы модуль управления постоматом пришёл в себя и выдал наконец посылку;Постамат
ужасно  заказывала из избранного  вторую лампу  но первая была отличная  совсем другой конструкции  больше  яркая  с нормальным шнуром и вилкой для розетки  эта же: маленькая  еле светит  хлипкая  шнур очень короткий и нет вилки  только юсб ;Товар
снова попалась та же ячейка в меду  хорошо  что надёжно упаковано и коробка товара не липкая  только упаковочный пакет  ;Постамат
как я не пытался открыть постамат  так он не открылся и смс вводил и через bluetooth и по местоположению пытался  нашел постамат какой-то  даже открыл его судя по приложению  но это не мой постамат???>? в итоге что-то где-то открыл;Постамат
постамат не работал  тех  поддержка по телефону никак не помогла  висел на телефоне больше тридцати минут  хотя оператор обещала вернуться с обратной связью через 2-5мин  при повторном обращении в тех  поддержку обещали написать или позвонить  что проблема решена и заказ можно идти забирать  но никто не позвонил  не отписал ;Постамат
чехол на телефон пришёл во время  есть замечания по корпусу  телефон а73 5g очень тяжело с   большим напрягом влез в корпус чехла  пришлось повозиться с этим и возникли сложности  что создаёт ни комформт  если производитель сделал бы на 1 5мм длиннее и шире на 1 5мм  было бы  прекрасно а  так такое ощущение  переживание  что телефон при использовании в чехле выпрыгнет наружу  ;Товар
товара не было в ячейки;Постамат
плохо ?? ;Другое
отвратительный дисплей на постомате  слабый отклик сенсорв;Постамат
написано  что постамат с 10 работает  в 10 20 здание было закрыто;Городская среда
ячейка в почтамате не открывается  вскрыть пришлось ножом  замок щелкает  но дверца остается недоступной;Постамат
плохо работает;Товар
пункт выдачи три дня не работал  невозможно было получить товар  постоянное отсутствие связи  в третий раз даже с телефона не могли открыть ;Городская среда
отвратительное место  испортилось  забирайте оттуда постамат ;Городская среда
плохо реагируют кнопки в поатамате;Постамат
не помогает вообще;Другое
изделие не работает ;Товар
заказ привезли вовремя  но постамат не работал  ;Постамат
заказала 28 06  обещали привезти 3 07  в назначенный день товар не привезли и информации о точной дате доставке тоже не было  пришлось обращаться в тех поддержку  но там тоже информацию не дали  в результате привезли 5 07 и в этот же день смс пришла  очень расстроена качеством доставки  т к  заказывала в подарок к дню рождения  а он был 4 07 ;Доставка
постамат в этом пункте выдачи (дикси) постоянно заблокирован тележками  которые каждый раз приходится отодвигать  чтоб получить доступ к ячейке;Городская среда
время работы пункта выдачи совпадает с моим временем работы  сложно успеть ;Городская среда
ячейка по коду открылась  но была пустой  товар не получен ;Постамат
хотелось бы пожаловаться на доставку  заказала 2 блока кошачьих кормов и маленькую мягкую игрушку  конечно  я специально заказала доставку на один день  одно время  до сегодняшнего дня все заказы объединяли в один  но сегодня зачем-то сначала один курьер тратил своё время ради одной крошечной игрушки  а затем приехал второй курьер и привёз корм  зачем так сделали не понятно  почему нельзя было передать все заказы одному курьеру  если они все не большие? ;Доставка
товара не доставлен в постамат мошенники ;Товар
написано плохое описание где найти постамат  вход не со двора как написано  ;Городская среда
ничего не получили  ячейка пустая  ;Постамат
не та модель не соответствует по описанию и комплектации  не работает с насадкой (насадки зажимают движущуюся пластину)  прислали модель которая в    е стоит в 3 раза дешевле чем я заплатил  ;Товар
не работает левый наушник;Товар
неудобный доступ к ячейкам при получении в постомате ;Постамат
не открылся постомат при нажатии кнопки в приложении  только через введение кода;Постамат
сломан постамат ;Постамат
постамат открылся не сразу только после второй попытки  написав что заказ не найден;Постамат
плохо ;Другое
"кошмар  вы хотя бы предупреждайте что смс получение отменено  дисплей постамата не отвечает  до поддержки не дозвониться; идиотка в поддержке ничего не может объяснить   если телефон разряжен какой к черту блютус? как другому человеку получить заказ без телефона???? верните смс ";Постамат
дверь постамата заблокирована столом;Постамат
очень плохо  что у 12-ти килограммового мешка отсутствовала какая-либо ручка для переноски из упаковочной верёвки ;Товар
работает  но зделано коряво  не оригенал  пойдeт;Товар
батарея не работает;Товар
код доступа к ячейки пришлось искать на сайте постомата  так как в смс на телефон пришла повреждённая ссылка без кода доступа к ячейки ;Постамат
сломан дисплей  тяжело набираются цифры;Постамат
плохо работает постамат ;Постамат
было сообщение:заказ 117396197 ждёт вас до 28 06 он лежит в 2 ячейках  не забудьте забрать все  код получения — 600567  ya cc/m/3tywkm на код открылась одна ячейка женский костюм пришел  мужского нет;Постамат
